p1,p2,p3,p4,p5,p6
ムゲンダイナ,テッカグヤ,レジエレキ,ウーラオス悪,メタグロス,カバルドン
バドレックス黒,アーマーガア,カバルドン,ウーラオス悪,ポリゴン２,マリルリ
カイオーガ,ハッサム,サンダー電,ランドロス霊,ラッキー,ウーラオス悪
ネクロズマ日,エンテイ,ウーラオス悪,カプ・レヒレ,ランドロス霊,サンダー電
ネクロズマ日,ランドロス霊,カプ・レヒレ,レジエレキ,ウーラオス悪,ラティアス
キュレム黒,ヒードラン,ヌオー,サンダー電,ウーラオス悪,モロバレル
ウーラオス悪,ミミッキュ,カイオーガ,サンダー電,メタグロス,ガブリアス
ザシアン,サンダー電,カバルドン,エースバーン,ウーラオス悪,ラプラス
ザシアン,ラプラス,ボルトロス霊,ガラガラ炎霊,カバルドン,ウーラオス悪
ムゲンダイナ,ランドロス霊,メタグロス,ラプラス,ウーラオス悪,ミミッキュ
バドレックス白,ヌオー,ウツロイド,マリルリ,ウーラオス悪,サンダー電
カバルドン,バドレックス黒,ウーラオス悪,サンダー電,ランドロス霊,マリルリ
サンダー電,ジバコイル,ウーラオス悪,ランドロス霊,カイオーガ,ミミッキュ
カイオーガ,ランドロス霊,サンダー電,ヒードラン,ウーラオス悪,メタモン
ガマゲロゲ,パッチラゴン,リザードン,ザシアン,ウーラオス悪,ウオノラゴン
グラードン,シャンデラ,ミミッキュ,ウーラオス悪,カイリュー,ウツロイド
カイオーガ,ドリュウズ,カバルドン,ミミッキュ,ウーラオス悪,ヒヒダルマ氷
カバルドン,カイオーガ,サンダー電,ゴリランダー,ヒードラン,ウーラオス悪
ルギア,レジエレキ,ウインディ,ドリュウズ,ウーラオス悪,カプ・レヒレ
マリルリ,キュレム白,ランドロス霊,ヒードラン,カプ・コケコ,ウーラオス悪
ザシアン,サンダー電,ウーラオス悪,ラプラス,ガマゲロゲ,ボルトロス霊
ザシアン,サンダー電,ヌオー,ラプラス,ウーラオス悪,バンギラス
バドレックス黒,カバルドン,ウーラオス悪,マリルリ,サンダー電,カミツルギ
ホウオウ,ナットレイ,トリトドン,バンギラス,サンダー電,ウーラオス悪
ホウオウ,ナットレイ,カプ・レヒレ,ウーラオス悪,ガマゲロゲ,ミミッキュ
イベルタル,ウオノラゴン,ウーラオス悪,テッカグヤ,サンダー電,ヒードラン
グラードン,エースバーン,ラティアス,ウーラオス悪,ミミッキュ,ラプラス
サンダー電,ムゲンダイナ,ウーラオス悪,ヒヒダルマ氷,ラッキー,ナマコブシ
エースバーン,ガブリアス,ウーラオス悪,ルージュラ,サンダー電,ネクロズマ日
ガマゲロゲ,ロトム炎,ウーラオス悪,サンダー電,カイリュー,ザシアン
カイオーガ,ドリュウズ,サンダー電,ミミッキュ,ナットレイ,ウーラオス悪
カイオーガ,サンダー電,ガブリアス,ナットレイ,ミミッキュ,ウーラオス悪
ザシアン,ラプラス,サンダー電,ドサイドン,ヒードラン,ウーラオス悪
ザシアン,ドサイドン,ラプラス,サンダー電,ガマゲロゲ,ウーラオス悪
ザシアン,サンダー電,ウーラオス悪,ドラパルト,ガマゲロゲ,ドサイドン
ザシアン,ウーラオス悪,ボルトロス霊,テッカグヤ,ラプラス,ガブリアス
ザシアン,サンダー電,ガマゲロゲ,ウーラオス悪,ドラパルト,メタモン
カイオーガ,ナットレイ,サンダー電,ウーラオス悪,バンギラス,ランドロス霊
ゼルネアス,エースバーン,ボルトロス化,ウーラオス悪,ランドロス霊,ゴチルゼル
カバルドン,ドリュウズ,バドレックス黒,ウーラオス悪,サンダー電,カプ・レヒレ
カプ・レヒレ,ネクロズマ日,ウーラオス悪,サンダー電,カイリュー,ガマゲロゲ
ランドロス霊,ラプラス,ネクロズマ日,ミミッキュ,ウーラオス悪,サンダー電
イベルタル,ガマゲロゲ,ヒードラン,ランドロス霊,カプ・コケコ,ウーラオス悪
カイオーガ,ガマゲロゲ,ヒードラン,ウーラオス悪,バンギラス,サンダー電
ガブリアス,オニゴーリ,ウーラオス悪,テッカグヤ,ピクシー,カプ・レヒレ
ドリュウズ,サンダー電,カプ・レヒレ,ウーラオス悪,アーゴヨン,ミミッキュ
ラグラージ,サンダー電,ミミッキュ,エースバーン,ウーラオス悪,カミツルギ
エースバーン,サンダー電,ウツロイド,ウーラオス悪,ランドロス霊,ナットレイ
ランドロス霊,ウーラオス悪,ミミッキュ,サンダー電,バシャーモ,カプ・レヒレ
キュウコン氷妖,ボルトロス霊,ウーラオス悪,ラグラージ,テッカグヤ,ミミッキュ
エースバーン,ドヒドイデ,ラッキー,ミミッキュ,ウーラオス悪,サンダー電
ポリゴン２,パッチラゴン,バンギラス,ミミッキュ,ウーラオス悪,ラプラス
ボルトロス霊,カプ・レヒレ,ウーラオス悪,カイリュー,メタグロス,ミミッキュ
サンダー電,ラグラージ,カプ・テテフ,エースバーン,ミミッキュ,ウーラオス悪
ミミッキュ,ウーラオス悪,ランドロス霊,ウオノラゴン,ツンデツンデ,サンダー電
ボーマンダ,カプ・レヒレ,ミミッキュ,ウーラオス悪,ボルトロス霊,エースバーン
エースバーン,レジエレキ,ウーラオス悪,ランドロス霊,ミミッキュ,ポリゴン２
カバルドン,サンダー電,エースバーン,ウーラオス悪,ミミッキュ,カプ・レヒレ
ランドロス霊,ライコウ,カプ・レヒレ,エースバーン,ミミッキュ,ウーラオス悪
カバルドン,サンダー電,エースバーン,ポリゴン２,ウーラオス悪,ドヒドイデ
マリルリ,ウーラオス悪,ドサイドン,ミミッキュ,アーゴヨン,サンダー電
ラグラージ,サンダー電,ミミッキュ,ウーラオス悪,カイリュー,ポリゴン２
ウーラオス悪,サンダー電,ゴリランダー,ミミッキュ,ポリゴン２,エースバーン
ドラパルト,サンダー電,カバルドン,ポリゴン２,カプ・レヒレ,ウーラオス悪
カバルドン,エースバーン,ウーラオス悪,カイリュー,アーゴヨン,ピクシー
アーゴヨン,カプ・レヒレ,テッカグヤ,ジバコイル,ドサイドン,ウーラオス悪
ジバコイル,ウオノラゴン,サンダー電,ウーラオス悪,ドサイドン,ミミッキュ
カイリュー,テッカグヤ,ウーラオス悪,ガブリアス,ナマコブシ,ハピナス
ピカチュウ,カイリュー,ミミッキュ,ポリゴン２,ドヒドイデ,ウーラオス悪
ニンフィア,ジバコイル,ギャラドス,ドサイドン,サンダー電,ウーラオス悪
ドータクン,ポリゴン２,ウーラオス悪,カイリュー,ヌオー,カプ・レヒレ
ボルトロス霊,ウーラオス悪,ポリゴン２,ドヒドイデ,カイリュー,ミミッキュ
キュウコン氷妖,スイクン,ランドロス霊,ウーラオス悪,カイリュー,エースバーン
ランドロス霊,エースバーン,サンダー電,ウーラオス悪,ミミッキュ,キュウコン氷妖
レジエレキ,ランドロス霊,ポリゴン２,ウオノラゴン,ウーラオス悪,テッカグヤ
ウーラオス悪,ナットレイ,ウツロイド,サンダー電,ミミッキュ,カバルドン
カイリュー,テッカグヤ,サンダー電,ドサイドン,ミミッキュ,ウーラオス悪
テッカグヤ,ランターン,ウツロイド,ウーラオス悪,ミミッキュ,カイリュー
テッカグヤ,ポリゴン２,カバルドン,サンダー電,カプ・レヒレ,ウーラオス悪
ガマゲロゲ,ウーラオス悪,カイリュー,ミミッキュ,ポリゴン２,テッカグヤ
